                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 1.0227,                0.60365,                 1.0219,                0.90875,                0.83693,                0.90959,                 0.6169,                0.95651,                0.52896,                 1.0052,               0.005248,               0.005248,               0.005248
                     50,                0.98674,                0.57959,                 1.0124,                0.86216,                0.85154,                 0.9149,                0.63651,                0.90499,                0.51569,                0.98123,               0.005149,               0.005149,               0.005149
                     51,                0.98899,                0.58406,                  1.012,                0.87003,                0.84378,                0.91243,                0.63571,                0.93138,                0.51109,                 1.0032,                0.00505,                0.00505,                0.00505
                     52,                0.99895,                0.60352,                 1.0125,                0.87694,                 0.8184,                 0.9076,                0.60575,                0.93725,                0.53201,                0.99413,               0.004951,               0.004951,               0.004951
                     53,                0.96057,                0.56734,                 1.0034,                0.88198,                0.84594,                0.91902,                0.64033,                 0.9316,                0.53409,                0.98966,               0.004852,               0.004852,               0.004852
                     54,                0.98762,                0.57817,                 1.0084,                 0.8708,                0.88515,                0.92789,                0.64182,                0.92559,                0.50293,                0.99176,               0.004753,               0.004753,               0.004753
                     55,                0.97037,                0.56769,                 1.0008,                 0.8236,                0.81088,                0.90262,                0.62195,                0.90832,                0.50462,                0.98599,               0.004654,               0.004654,               0.004654
                     56,                 1.0073,                0.57921,                0.99913,                0.85365,                0.84961,                0.89766,                0.62644,                0.92157,                0.54936,                0.99911,               0.004555,               0.004555,               0.004555
                     57,                0.96343,                0.56184,                 1.0035,                0.82464,                0.85994,                0.90793,                0.62622,                0.95237,                0.51999,                 0.9986,               0.004456,               0.004456,               0.004456
                     58,                0.95522,                0.55718,                0.99844,                0.87754,                0.88796,                0.93562,                0.64797,                0.93721,                0.51367,                0.99026,               0.004357,               0.004357,               0.004357
                     59,                0.94407,                0.55106,                0.99898,                0.82973,                0.88728,                0.92222,                0.65529,                 0.9307,                0.50813,                0.99312,               0.004258,               0.004258,               0.004258
                     60,                0.95755,                 0.5448,                0.99818,                0.89386,                0.87285,                 0.9208,                 0.6414,                0.92709,                0.51095,                0.99012,               0.004159,               0.004159,               0.004159
                     61,                 0.9621,                0.55172,                0.99063,                0.85365,                0.81695,                0.89227,                0.62097,                0.90325,                0.52392,                0.98177,                0.00406,                0.00406,                0.00406
                     62,                0.95794,                0.54403,                0.98537,                0.87926,                0.85673,                0.92557,                0.66027,                0.89463,                0.51821,                0.97468,               0.003961,               0.003961,               0.003961
                     63,                0.93631,                0.54236,                0.97783,                0.88038,                0.85994,                0.91786,                0.65536,                0.90275,                0.51061,                0.98501,               0.003862,               0.003862,               0.003862
                     64,                0.93435,                0.53539,                0.98966,                0.86527,                0.82755,                 0.9088,                  0.638,                0.91103,                 0.4937,                0.98086,               0.003763,               0.003763,               0.003763
                     65,                0.92124,                0.52622,                0.98862,                0.89023,                0.80112,                0.91322,                0.64922,                0.89562,                0.49239,                0.97647,               0.003664,               0.003664,               0.003664
                     66,                0.91494,                0.53564,                0.98591,                 0.8641,                0.87275,                 0.9284,                0.64617,                0.91569,                0.50869,                0.98545,               0.003565,               0.003565,               0.003565
                     67,                0.92043,                0.52777,                0.99119,                0.90478,                0.84594,                0.91207,                0.63583,                  0.909,                0.49574,                0.97947,               0.003466,               0.003466,               0.003466
                     68,                0.94171,                0.53168,                0.98089,                0.90258,                 0.8824,                 0.9304,                0.65525,                0.89486,                0.47522,                0.97495,               0.003367,               0.003367,               0.003367
                     69,                0.89202,                0.50307,                0.97124,                0.91003,                0.84874,                0.92394,                0.63887,                0.90005,                0.48396,                 0.9809,               0.003268,               0.003268,               0.003268
                     70,                0.90097,                0.51464,                0.97899,                  0.886,                0.87076,                0.92625,                0.65181,                0.90519,                0.46658,                 0.9796,               0.003169,               0.003169,               0.003169
                     71,                0.90665,                0.51927,                0.97269,                0.89848,                0.86771,                0.93538,                 0.6505,                0.92864,                0.48227,                0.99249,                0.00307,                0.00307,                0.00307
                     72,                0.90708,                0.51508,                0.96833,                0.89467,                0.88031,                0.93754,                0.64889,                0.91059,                0.45658,                0.98384,               0.002971,               0.002971,               0.002971
                     73,                0.88451,                 0.5034,                0.96452,                0.93957,                0.82913,                0.93088,                0.65604,                0.91921,                0.47345,                0.98304,               0.002872,               0.002872,               0.002872
                     74,                0.90698,                0.51105,                0.97226,                0.90429,                0.84034,                0.92349,                0.65778,                 0.9067,                0.46092,                0.98937,               0.002773,               0.002773,               0.002773
                     75,                0.90917,                0.51681,                0.97146,                0.88573,                0.86555,                0.93217,                 0.6647,                0.87244,                0.45595,                0.96983,               0.002674,               0.002674,               0.002674
                     76,                0.89626,                0.50281,                0.96873,                0.87946,                0.86835,                0.92269,                0.67596,                 0.8769,                0.45655,                0.97173,               0.002575,               0.002575,               0.002575
                     77,                0.85805,                0.48876,                0.95715,                0.91377,                0.83111,                0.92235,                0.66384,                0.91197,                0.48569,                0.99059,               0.002476,               0.002476,               0.002476
                     78,                0.84652,                0.48069,                0.96473,                0.91715,                0.83728,                0.92209,                0.66487,                0.89341,                0.45479,                0.98382,               0.002377,               0.002377,               0.002377
                     79,                0.86527,                0.47415,                   0.96,                0.89732,                0.87115,                0.92827,                0.65643,                  0.895,                0.45219,                0.97894,               0.002278,               0.002278,               0.002278
                     80,                0.86841,                 0.4791,                0.96507,                0.90263,                0.85689,                0.92689,                0.65621,                0.89878,                0.46741,                0.97654,               0.002179,               0.002179,               0.002179
                     81,                0.86713,                0.48309,                0.95092,                0.87876,                0.87306,                0.93027,                0.65927,                0.90304,                0.46168,                0.98957,                0.00208,                0.00208,                0.00208
                     82,                0.88094,                0.49705,                0.96068,                0.91383,                0.86151,                0.93022,                0.66799,                0.88686,                0.47124,                0.97938,               0.001981,               0.001981,               0.001981
                     83,                 0.8663,                 0.4773,                   0.95,                0.91852,                0.85258,                   0.93,                0.66548,                0.87148,                0.47997,                0.96473,               0.001882,               0.001882,               0.001882
                     84,                0.86449,                 0.4785,                0.95077,                0.89944,                0.85188,                0.92986,                0.65916,                0.88312,                0.46394,                 0.9737,               0.001783,               0.001783,               0.001783
                     85,                0.84469,                0.47643,                0.95333,                0.90447,                0.85714,                0.92581,                0.67068,                0.86487,                0.43882,                0.96628,               0.001684,               0.001684,               0.001684
                     86,                0.84452,                0.46523,                0.95425,                 0.9191,                0.85918,                0.92516,                0.66698,                0.88839,                0.44549,                0.97607,               0.001585,               0.001585,               0.001585
                     87,                0.83351,                 0.4703,                0.95042,                0.90561,                0.87115,                0.93519,                0.66345,                0.88915,                0.45323,                0.97207,               0.001486,               0.001486,               0.001486
                     88,                0.82749,                0.46115,                0.94808,                0.90848,                0.86202,                0.93255,                0.66644,                0.88708,                 0.4489,                0.97517,               0.001387,               0.001387,               0.001387
                     89,                0.85512,                0.46665,                0.94788,                0.93804,                0.84815,                0.93776,                0.66686,                 0.8884,                0.45481,                0.96768,               0.001288,               0.001288,               0.001288
                     90,                0.82831,                0.45485,                  0.936,                0.93693,                0.87378,                0.94139,                0.68171,                0.87595,                0.45425,                0.96191,               0.001189,               0.001189,               0.001189
                     91,                 0.8206,                 0.4587,                0.94217,                0.91686,                0.89584,                0.94708,                0.69187,                0.85401,                0.44264,                0.95784,                0.00109,                0.00109,                0.00109
                     92,                0.79993,                0.44247,                0.94365,                0.91648,                0.86066,                0.93913,                0.68249,                0.86994,                0.45403,                0.96562,               0.000991,               0.000991,               0.000991
                     93,                0.81154,                0.44169,                0.95065,                0.92553,                0.87031,                0.94271,                0.67993,                0.86563,                0.44482,                0.96384,               0.000892,               0.000892,               0.000892
                     94,                0.82899,                0.45304,                0.94313,                0.92832,                0.87071,                0.93723,                0.67959,                0.85988,                0.44563,                0.96306,               0.000793,               0.000793,               0.000793
                     95,                 0.8152,                0.44443,                0.94711,                0.92425,                0.85449,                0.93716,                0.68942,                0.85311,                0.44141,                0.95843,               0.000694,               0.000694,               0.000694
                     96,                0.82911,                 0.4554,                0.93526,                 0.9161,                0.89356,                0.94647,                0.68651,                0.86256,                0.43361,                0.96404,               0.000595,               0.000595,               0.000595
                     97,                0.82551,                0.44246,                0.93793,                0.92393,                0.88456,                0.94272,                0.68889,                 0.8507,                0.43937,                0.95904,               0.000496,               0.000496,               0.000496
                     98,                0.81771,                0.44423,                0.94265,                0.91587,                0.88515,                 0.9376,                0.68702,                0.85665,                0.43504,                0.95994,               0.000397,               0.000397,               0.000397
                     99,                 0.8051,                0.44051,                0.93452,                0.90612,                0.89214,                0.94055,                0.69051,                0.84959,                0.43612,                0.95951,               0.000298,               0.000298,               0.000298
